Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
6/19/1964,"Southhampton, Massachusetts",Private - Air Taxi,"Washington D.C. - Southhampton, MA",Aero Commander 680,5,2,0
4/9/1965,"Bellfontaine, Ohio",Ortner Air Service - Taxi,,Beech C-45H,2,2,0
10/27/1965,"London, England",British European Airways,Edinburgh - London,Vickers Vanguard 951,36,36,0
1/28/1966,"Bremen, Germany",Lufthansa,Frankfurt - Bremen,Convair CV-440-0,46,46,0
2/7/1966,"Srinagar, India",Indian Airlines,Srinngar - Jammu - Amritsar - Delhi,Fokker F-27 Friendship 200,37,37,0
2/15/1966,"Delh, India",Indian Airlines,Calcutta - Delhi,Sud Aviation SE-210 Caravelle VIN,80,2,0
3/4/1966,"Near Tokyo, Japan",Canadian PacifiAir Lines,Hong Kong - Tokyo,McDonnell Douglas DC-8-43,72,64,0
4/22/1966,"Near Ardmore, Oklahoma",American Flyers Airline,Monterey - Ardmore,Lockheed 188C Electra,98,83,0
5/6/1966,"Neah Bay, Washington",Kurtzer Flying Service - Taxi,,Cessna 180,2,2,0
12/18/1966,"Bogota, Colombia",Aerocondor de Colombia,Miami - Bogota,Lockheed L-1649A Starliner,59,17,0
12/24/1966,"Binh Tahi, Da Nang, Vietnam",Flying Tiger Line,,Canadair CL-44D4-1,4,4,107
3/11/1967,"Mt Visenti, Italy",Aeralpi,Venezia - Belluno,de Havilland Canada DHC-6 Twin Otter 100,5,4,0
3/16/1967,"Kodiak, Alaska",Harvey's Flying Service - Air Taxi,,Beechcraft D18S,2,2,0
3/27/1967,"Greenwood, Mississippi",Harold E. Bell - Air Taxi,,Beechcraft 95-55,2,2,0
4/8/1967,"Seoul, South Korea",Military - Republiof South Korea Air Force,Yoido AB - Taegu,Curtiss-Wright C-46,15,15,44
5/4/1967,"New Castle, Virginia",Greenbriar Airways,,Cessna 205,4,4,0
7/19/1967,"Tananarive, Malagasy Republic",Air Madagascar,,Douglas DC-4-1009,42,42,0
12/10/1967,"Near Madison, Wisconsin",Private,"Cleveland, OH - Madison WI",Beechcraft 18H,8,7,0
12/25/1967,"Chiang Mai, Thailand",Thai Airways,Bangkok - Chiang Mai,Douglas DC-3,31,4,0
2/7/1968,"Vancouver, Canada",Canadian PacifiAir Lines,Honolulu - Vancouver,Boeing B-707-138B,61,1,1
4/10/1968,"Dahlonega, Georgia",Canair Corp. - Air Taxi,,Cessna 182,4,4,0
5/14/1968,"Pelliston, Michigan",Phillips Flying Service - Air Taxi,,Piper PA-23,4,4,0
8/10/1968,"Charleston, West Virginia",Piedmont Airlines,"Cincinnati - Charlston, WV",Fairchild-Hiller FH-227B,37,35,0
8/28/1968,"Lopez, Washington",Island Sky Ferry - Air Taxi,,Cessna 172,2,0,0
11/23/1968,"Santa Ana, California",Cable Commuter,Los Angeles - Santa Ana,de Havilland Canada DHC-6 Twin Otter 200,9,9,0
3/20/1969,"New Orleans, Louisiana",Avion Airways,Memphis - New Orleans,Douglas DC-3,27,16,0
4/2/1969,"Zawoja, Poland",LOT Polish Airlines,Warsaw - Cracow,Antonov AN-24V,53,53,0
12/23/1969,"Near Luang Prabang, Laos",Air Laos,,Douglas C-47A-25-DK,19,15,0
1/12/1970,Near Villia Greece,Military - Royal HelleniAir Force,,Douglas C-47,27,23,0
